,words,x,y
313,crucifix,13.622107,0.7487008
314,prow,16.662954,4.5435443
315,example,17.647036,3.633241
316,presents,15.976337,3.9179878
317,ambrogio,11.647504,2.5148883
318,godart,14.803836,2.4148526
319,caftan,13.936365,3.9320073
320,bruyn,14.443534,4.868612
321,milked,14.991574,5.6891375
322,chrétien,13.685004,0.57764196
323,council,15.585853,1.7079328
324,ostrich,12.508931,7.2176533
325,born,14.221668,3.5160267
326,leydecker,14.106451,3.3015237
327,decoration,16.4963,4.1493797
328,looked,15.743925,2.2787402
329,houses,11.4593725,4.539057
330,arithmetica,15.168316,2.057921
331,surmont,10.581284,3.122213
332,cossacks,13.895963,4.331744
333,religious,13.758526,0.3798357
334,crucifixion,13.668755,0.71539116
335,sunken,10.943624,4.512421
336,malabar,15.055222,3.6825507
337,villeroy,12.055663,3.231573
338,says,17.630062,3.9702287
339,sled,11.492855,3.8487709
340,battle,14.585066,3.1591334
341,fence,11.831177,4.735221
342,diplomatic,15.980135,3.2848072
343,potatoes,14.566198,6.6637363
344,pearls,14.187353,5.289248
345,sūrat,15.321417,5.762613
346,unfinished,14.029441,3.0055542
347,means,15.647204,3.4571493
348,walled,15.98545,4.5576444
349,westerners,14.843926,1.1120294
350,calèche,16.769634,6.3061204
351,shrubs,13.772939,7.1883383
352,then,16.605276,3.4025903
353,spinner,13.873983,3.559899
354,anticipation,14.556586,2.2808146
355,edge,13.72262,2.490149
356,wescar,14.349371,3.4592175
357,test,16.546068,3.2028952
358,bushes,13.737569,7.2175903
359,ambassadorship,14.01737,1.4828815
360,wrists,14.126472,4.671304
361,emmaus,13.4451065,2.0593128
362,passers,15.356737,1.2060628
363,verhoeff,12.602631,2.2229278
364,driveway,11.485476,3.9090695
365,veltman,12.704084,1.9808416
366,fathers,15.156982,1.4104347
367,lassomption,14.057447,6.141643
368,payment,18.00972,4.4166536
369,frescoed,17.413393,3.221386
370,mules,11.85317,6.6801186
371,admiral,13.32427,1.5987461
372,shelling,14.566228,4.062527
373,lies,11.095614,4.7650576
374,edinburgh,10.035633,3.0109208
375,zeeuwsche,10.700302,2.684814
376,dellumilta,12.781355,2.673808
377,wheelbarrow,16.732903,6.27574
378,represented,15.335069,2.5803618
379,treasurer,16.014017,2.5734391
380,sellers,15.380877,3.28017
381,maker,16.271378,4.031576
382,cherries,14.408904,7.1747665
383,scholars,16.300926,1.3772428
384,gangelt,13.581688,3.041977
385,theater,16.670929,2.50438
386,mauritshuis,11.440203,4.413386
387,fantasized,15.095797,3.36965
388,candlesticks,12.929225,5.3682165
389,tournai,10.36692,2.6627994
390,knotted,13.52873,4.663877
391,italianate,14.729062,6.1309752
392,knee,13.5106325,4.9622684
393,household,15.529883,1.3180876
394,danes,16.626986,2.2638772
395,bernardus,12.295134,2.3270295
396,journeyman,13.7805395,1.8582885
397,eerens,13.003574,1.5789438
398,ladder,12.398694,4.9630165
399,clasps,14.177907,5.0064087
400,raise,17.953909,5.097294
401,quays,13.424772,5.501946
402,gelder,13.2877865,2.1003382
403,pump,15.770348,5.4553065
404,deep,16.99315,4.918387
405,bronze,14.89903,0.6158326
406,skull,13.524911,4.4067717
407,coach,16.616415,1.7524194
408,pilgrim,15.8763,1.0639801
409,arti,14.967745,2.4451478
410,cornstalks,14.047159,6.8217707
411,jochem,11.593397,6.792663
412,burgrave,17.069138,5.3805213
413,messchaert,14.846627,6.2450366
414,jagiellonki,12.874346,5.8259068
